Test Case ID,Test Case Title,Pre-conditions,Test Steps,Test Data,Expected Result,Status
TC-028,Verify redirection to PIM page after clicking on PIM button,user is on dashboard page,1- click on PIM button from the left sidebar,,user is redirected to PIM page,Pass
TC-029,Verify that PIM button is visible in the left sidebar after successful login,user is logged on and in dashboard page,1- observe appearing PIM button in the left sidebar,,PIM button is visible and displayed correctly in the left sidebar menu,Pass
TC-030,Verify adding a new employee successfully when providing valid data in all mandatory fields,user is on add employee page,"1- enter valid data in all mandatory fields
2- click save button","first name: omar
middle name: ahmed
last name: sayed
employee id: 47589","the employee is saved successfully, and the system automatically redirects to the 'Personal Details' tab of the new employee",Pass
TC-031,Verify error message when entering an already existing Employee ID,user is on add employee page,"1- enter valid first name
2- enter valid middle name
3- enter valid last name
4- enter an existed ID 
5- click save button","first name: omar
middle name: ahmed
last name: sayed
employee id: 47589","an error message is displayed ""employee Id already exists""",Pass
TC-032,Verify adding a new employee successfully when providing valid data in all mandatory fields with valid profile picture,user is on add employee page,"1- enter valid data in all mandatory fields
2- click the + icon and upload a valid image.
3- click save button","first name: omar
middle name: ahmed
last name: sayed
employee id: 47589","the employee is saved successfully along with the profile picture, and the system automatically redirects to the 'Personal Details' tab of the new employee",Pass
TC-033,Verify that an error message is displayed when uploading a profile picture with an invalid extension,user is on add employee page,"1- enter valid data in all mandatory fields
2- click the + icon and upload a non-image file (e.g., PDF or TXT).
3- click save button","first name: ali
middle name: ahmed
last name: sayed
employee id: 47589","an error message is displayed""invalid type file""",Pass
TC-034,Verify that an error message is displayed when uploading a profile picture larger than 1MB,user is on add employee page,"1- enter valid data in all mandatory fields
2- click the + icon and upload an image file that exceeds 1MB 
3- click save button","first name: mahmoud
middle name: ahmed
last name: sayed
employee id: 47589","an error message is displayed""the file size exceeds the maximum allowed limit of 1MB""",Pass
TC-035,Verify that an error message is displayed when providing invalid data in all mandatory fields,user is on add employee page,"1- enter invalid data in all mandatory fields
2- click save button","first name: 12@#
middle name: %$w
last name: 4567
employee id: **&^","an error message is displayed""invalid data""",Fail
TC-036,Verify that an error message is displayed when entering invalid first name,user is on add employee page,"1- enter invalid first name
2- enter valid middle name
3- enter valid last name
4- enter valid employee ID
5- click save button","first name: (*)(7
middle name: ahmed
last name: sayed
employee id: 47659","an error message is displayed""invalid data""",Fail
TC-037,Verify that an error message is displayed when entering invalid middle name,user is on add employee page,"1- enter valid first name
2- enter invalid middle name
3- enter valid last name
4- enter valid employee ID
5- click save button","first name: omar
middle name: &^%
last name: sayed
employee id: 47589","an error message is displayed""invalid data""",Fail
TC-038,Verify that an error message is displayed when entering invalid last name,user is on add employee page,"1- enter valid first name
2- enter valid middle name
3- enter invalid last name
4- enter valid employee ID
5- click save button","first name: omar
middle name: ahmed
last name: 4657
employee id: 47589","an error message is displayed""invalid data""",Fail
TC-039,Verify that an error message is displayed when entering invalid ID,user is on add employee page,"1- enter valid first name
2- enter valid middle name
3- enter valid last name
4- enter invalid employee ID
5- click save button","first name: omar
middle name: ahmed
last name: sayed
employee id: jhkj","an error message is displayed""invalid data""",Fail
TC-040,Verify that an error message is displayed when leaving all required fields empty,user is on add employee page,"1- leave all required fields empty
2- click save button","first name: empty
middle name: empty
last name: empty
employee id: empty","an error message is displayed ""required fields",Pass
TC-041,Verify that an error message is displayed when leaving first name field empty,user is on add employee page,"1- leave first name empty
2- enter valid middle name
3- enter valid last name
4- enter invalid employee ID
5- click save button","first name: empty
middle name: ahmed
last name: sayed
employee id: 96321","an error message is displayed ""required field",Pass
TC-042,Verify that a new user is created successfully when leaving middle name field empty,user is on add employee page,"1- enter valid first name
2- leave valid middle name empty
3- enter valid last name
4- enter invalid employee ID
5- click save button","first name: hamza
middle name: empty
last name: sayed
employee id: 12580",a new user is created successfully,Pass
