Test Case ID,Test Case Title,Pre-conditions,Test Steps,Test Data,Expected Result,Status
TC-018,Verify that login fails when the password contains leading spaces,user is on login page,"1- navigate to https://opensource-demo.orangehrmlive.com
2- enter valid username 
3- enter valid password with leading spaces
4- click login button","username: Admin    

password:   admin123  
",user is logged in successfully and redirected to the dashboard page,Pass
TC-019,"Verify that ""Forgot your password"" button is and displayed in the login page under login button ",user is on login page,"1- navigate to https://opensource-demo.orangehrmlive.com
2- observe the position of  ""Forgot your password"" button",,"""Forgot your password"" button is displayed in the login page under login button ",Pass
TC-020,"Verify that user is redirected to reset password page after clicking on the  ""Forgot your password"" button",user is on login page,"1- navigate to https://opensource-demo.orangehrmlive.com
2- observe the position of  ""Forgot your password"" button
3- click on  ""Forgot your password"" button",, user is redirected to reset password page,Pass
TC-021,"Verify appearing ""Please enter your username to identify your account to reset your password"" message  after redirecting to reset password page",user is on login page,"1- click on  ""Forgot your password"" button
2- observe appearing the mentioned message ",,"Please enter your username to identify your account to reset your password"" message is displayed",Pass
TC-022,Verify that user can reset password when providing valid username,user is on reset password page,"1- enter valid username
2- click on reset password button","username: ahmed
","a confirmation reset password message is displayed ""Reset Password link sent successfully""",Pass
TC-023,Verify that an appropriate error message is displayed when providing invalid username,user is on reset password page,"1- enter invalid username
2- click on reset password button","username: gt34
","system shows error message ""username not found""",Fail
TC-024,Verify that user is redirected to login page after clicking on the cancel button,user is on reset password page,1- click cancel button,,user is redirected to login page,Pass
TC-025,Verify an error message is displayed when leaving username field empty,user is on reset password page,1- leaving username field empty,,"system shows validation error ""Required""",Pass
TC-026,Verify system trims spaces in username field,user is on reset password page,"1- enter username with leading / trailing spaces
2- click reset password button","username:   omar
",System trims spaces and processes request successfully,Pass
TC-027,Verify system behavior when entering special characters in username field,user is on reset password page,"1- enter username with special characters
2- click reset password button","username:   omar$%@#
","system shows error message ""username not found""",Fail
